Speaker,Pseudonym,Year,Neighborhood,Gender,YOB,Occupation,Age,SEC,Code,Word,PreSeg,FolSeg,Register,File,Asp,MidPoint,SegStart,SegEnd,SegDur,AspEnd,AspDur,AspStartr,AspEndr,IntermediateV,AgeGroup,n,,AspProp,Chunk,ChunkStart,ChunkEnd,WordsChunk,WordsPerSecond,SyllablesChunk,SyllablesPerSecond,presegv,presegm,asp,aspProp,word_init,post_pausal,mean_aspprop,file,word,preseg,folseg,preword,aspstart,aspend,duration,intensity,cog,sdev,skew,kurt,window_size,window_number,token,mean_cog,YOB_z,SPS_z
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,what,N,AH,conversation,EDI_2-1-1,NA,1205.236499,1205.217,1205.256,0.038019,NA,NA,NA,NA,NA,3,74,,NA,107,1193.122,1233.36,176,4.37397485,184,4.572791888,voiced,nasal,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,3.024914937
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,where,OW,ER,conversation,EDI_2-1-1,NA,1220.399963,1220.343,1220.457,0.114023,NA,NA,NA,NA,NA,3,74,,NA,107,1193.122,1233.36,176,4.37397485,184,4.572791888,voiced,vowel,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,3.024914937
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,when,w,NA,conversation,EDI_2-1-1,NA,1222.21905,1222.204,1222.234,0.0299,NA,NA,NA,NA,NA,3,74,,NA,107,1193.122,1233.36,176,4.37397485,184,4.572791888,voiceless,approximant,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,3.024914937
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,when,D,EH,conversation,EDI_2-1-1,NA,1252.154477,1252.131,1252.178,0.047872,NA,NA,NA,NA,NA,3,74,,NA,109,1245.86,1269.643,84,3.531934575,78,3.279653534,voiced,plosive,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,0.786389165
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,what,S,AH1,conversation,EDI_2-1-1,NA,1256.03705,1256.012,1256.062,0.0499,NA,NA,NA,NA,NA,3,74,,NA,109,1245.86,1269.643,84,3.531934575,78,3.279653534,voiceless,fricative,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,0.786389165
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,when,K,EH,conversation,EDI_2-1-1,NA,1259.729127,1259.702,1259.756,0.05404,NA,NA,NA,NA,NA,3,74,,NA,109,1245.86,1269.643,84,3.531934575,78,3.279653534,voiceless,plosive,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,0.786389165
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,while,N,AY,conversation,EDI_2-1-1,NA,1274.814754,1274.789,1274.841,0.052237,NA,NA,NA,NA,NA,3,74,,NA,111,1273.126,1389.538,422,3.625055836,420,3.607875477,voiced,nasal,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,1.354567563
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,whatever,UH,AH,conversation,EDI_2-1-1,NA,1335.178892,1335.151,1335.207,0.0554,NA,NA,NA,NA,NA,3,74,,NA,111,1273.126,1389.538,422,3.625055836,420,3.607875477,voiced,vowel,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,1.354567563
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,what,NG,AH,conversation,EDI_2-1-1,NA,1359.036214,1359.013,1359.059,0.0464,NA,NA,NA,NA,NA,3,74,,NA,111,1273.126,1389.538,422,3.625055836,420,3.607875477,voiced,nasal,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,1.354567563
EDI_2-1,Nicola,2014,Leith,woman,1959,Health Assistant,55,WC,w,what,OW,AH,conversation,EDI_2-1-1,NA,1437.019725,1437.001,1437.039,0.038101,NA,NA,NA,NA,NA,3,74,,NA,117,1436.775,1442.336,19,3.416651681,23,4.135946772,voiced,vowel,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.248529528,2.268701151
